PointCount: 2009

Point 0: X: 104, Y: 345, Depth: -1
Point 60: X: 561, Y: 292, Depth: 9.69616
Point 61: X: 341, Y: 262, Depth: 15.157
Point 62: X: 322, Y: 256, Depth: 16.2754
Point 63: X: 339, Y: 236, Depth: -1
Point 64: X: 319, Y: 238, Depth: -1
Point 65: X: 194, Y: 311, Depth: -1
Point 66: X: 170, Y: 297, Depth: -1
Point 67: X: 204, Y: 290, Depth: -1
Point 68: X: 179, Y: 292, Depth: -1
Point 69: X: 651, Y: 182, Depth: -1
Point 70: X: 624, Y: 173, Depth: -1
Point 71: X: 650, Y: 146, Depth: -1
Point 72: X: 633, Y: 161, Depth: -1
Point 73: X: 315, Y: 225, Depth: 14.678
Point 74: X: 286, Y: 211, Depth: -1
Point 75: X: 310, Y: 196, Depth: 15.076
Point 76: X: 296, Y: 205, Depth: -1
Point 77: X: 117, Y: 297, Depth: -1
Point 78: X: 95, Y: 309, Depth: -1
Point 79: X: 116, Y: 282, Depth: -1
Point 80: X: 303, Y: 339, Depth: 7.56209
Point 81: X: 283, Y: 347, Depth: -1
Point 82: X: 303, Y: 318, Depth: 8.80313
Point 83: X: 295, Y: 322, Depth: 8.8076
Point 84: X: 80, Y: 347, Depth: -1
Point 85: X: 68, Y: 348, Depth: -1
Point 86: X: 81, Y: 335, Depth: -1
Point 87: X: 71, Y: 332, Depth: -1
Point 88: X: 238, Y: 348, Depth: -1
Point 89: X: 222, Y: 344, Depth: -1
Point 90: X: 241, Y: 318, Depth: -1
Point 91: X: 205, Y: 320, Depth: -1
Point 92: X: 346, Y: 41, Depth: -1
Point 93: X: 336, Y: 54, Depth: -1
Point 94: X: 350, Y: 34, Depth: -1
Point 95: X: 282, Y: 126, Depth: -1
Point 96: X: 304, Y: 103, Depth: -1
Point 97: X: 295, Y: 110, Depth: -1
Point 98: X: 265, Y: 253, Depth: -1
Point 99: X: 250, Y: 273, Depth: 14.0032
Point 100: X: 265, Y: 248, Depth: -1
Point 101: X: 244, Y: 252, Depth: 12.5536
Point 102: X: 747, Y: 168, Depth: 32.9856
Point 103: X: 764, Y: 161, Depth: 29.4342
Point 104: X: 741, Y: 159, Depth: 26.1432
Point 105: X: 455, Y: 223, Depth: 26.6156
Point 106: X: 433, Y: 212, Depth: 22.8451
Point 107: X: 459, Y: 199, Depth: 29.5848
Point 108: X: 439, Y: 205, Depth: 29.2007
Point 109: X: 457, Y: 124, Depth: -1
Point 110: X: 444, Y: 143, Depth: -1
Point 111: X: 468, Y: 105, Depth: -1
Point 112: X: 445, Y: 120, Depth: -1
Point 113: X: 416, Y: 255, Depth: 16.0097
Point 114: X: 405, Y: 257, Depth: 15.7114
Point 115: X: 427, Y: 233, Depth: 21.5885
Point 116: X: 407, Y: 231, Depth: 18.3256
Point 117: X: 379, Y: 255, Depth: 16.0347
Point 118: X: 361, Y: 253, Depth: 16.6481
Point 119: X: 383, Y: 232, Depth: 17.9693
Point 120: X: 363, Y: 252, Depth: 16.7638
Point 121: X: 77, Y: 57, Depth: -1
Point 122: X: 72, Y: 55, Depth: -1
Point 123: X: 73, Y: 29, Depth: -1
Point 124: X: 71, Y: 28, Depth: -1
Point 125: X: 488, Y: 314, Depth: -1
Point 126: X: 482, Y: 312, Depth: 8.25539
Point 127: X: 503, Y: 290, Depth: -1
Point 128: X: 479, Y: 277, Depth: -1
Point 129: X: 388, Y: 39, Depth: -1
Point 130: X: 367, Y: 41, Depth: -1
Point 131: X: 382, Y: 25, Depth: -1
Point 132: X: 358, Y: 22, Depth: -1
Point 133: X: 720, Y: 181, Depth: -1
Point 134: X: 696, Y: 179, Depth: -1
Point 135: X: 719, Y: 157, Depth: 47.9478
Point 136: X: 697, Y: 150, Depth: -1
Point 137: X: 526, Y: 217, Depth: 28.8389
Point 138: X: 513, Y: 211, Depth: 34.8136
Point 139: X: 526, Y: 191, Depth: -1
Point 140: X: 520, Y: 195, Depth: 50.54
Point 141: X: 1067, Y: 217, Depth: -1
Point 142: X: 1039, Y: 217, Depth: -1
Point 143: X: 1067, Y: 209, Depth: -1
Point 144: X: 1049, Y: 193, Depth: -1
Point 145: X: 564, Y: 222, Depth: 24.6065
Point 146: X: 558, Y: 230, Depth: 20.6337
Point 147: X: 574, Y: 188, Depth: -1
Point 148: X: 561, Y: 188, Depth: -1
Point 149: X: 278, Y: 50, Depth: -1
Point 150: X: 256, Y: 45, Depth: -1
Point 151: X: 273, Y: 26, Depth: -1
Point 152: X: 256, Y: 19, Depth: -1
Point 153: X: 345, Y: 223, Depth: 22.1777
Point 154: X: 319, Y: 228, Depth: -1
Point 155: X: 339, Y: 189, Depth: 33.8862
Point 156: X: 327, Y: 198, Depth: 66.8859
Point 157: X: 693, Y: 126, Depth: -1
Point 158: X: 669, Y: 129, Depth: -1
Point 159: X: 678, Y: 103, Depth: -1
Point 160: X: 674, Y: 117, Depth: -1
Point 161: X: 468, Y: 99, Depth: -1
Point 162: X: 435, Y: 84, Depth: -1
Point 163: X: 452, Y: 78, Depth: -1
Point 164: X: 439, Y: 61, Depth: -1
Point 165: X: 694, Y: 184, Depth: 21.7038
Point 166: X: 666, Y: 172, Depth: 70.0708
Point 167: X: 683, Y: 155, Depth: -1
Point 168: X: 665, Y: 148, Depth: -1
Point 169: X: 614, Y: 220, Depth: 25.0614
Point 170: X: 594, Y: 217, Depth: 28.6898
Point 171: X: 604, Y: 192, Depth: -1
Point 172: X: 598, Y: 192, Depth: -1
Point 173: X: 724, Y: 141, Depth: -1
Point 174: X: 714, Y: 141, Depth: -1
Point 175: X: 721, Y: 119, Depth: -1
Point 176: X: 706, Y: 102, Depth: -1
Point 177: X: 308, Y: 43, Depth: -1
Point 178: X: 297, Y: 38, Depth: -1
Point 179: X: 313, Y: 21, Depth: -1
Point 180: X: 285, Y: 32, Depth: -1
Point 181: X: 389, Y: 306, Depth: 9.18412
Point 182: X: 372, Y: 296, Depth: 10.3129
Point 183: X: 386, Y: 294, Depth: 10.0226
Point 184: X: 360, Y: 278, Depth: -1
Point 185: X: 262, Y: 176, Depth: -1
Point 186: X: 244, Y: 181, Depth: 26.1036
Point 187: X: 273, Y: 162, Depth: 27.0718
Point 188: X: 256, Y: 162, Depth: -1
Point 189: X: 574, Y: 131, Depth: -1
Point 190: X: 553, Y: 124, Depth: -1
Point 191: X: 560, Y: 116, Depth: -1
Point 192: X: 646, Y: 139, Depth: -1
Point 193: X: 623, Y: 141, Depth: -1
Point 194: X: 647, Y: 116, Depth: -1
Point 195: X: 638, Y: 114, Depth: -1
Point 196: X: 753, Y: 40, Depth: -1
Point 197: X: 745, Y: 47, Depth: -1
Point 198: X: 756, Y: 20, Depth: -1
Point 199: X: 740, Y: 24, Depth: -1
Point 200: X: 493, Y: 214, Depth: 32.6396
Point 201: X: 482, Y: 222, Depth: 25.9708
Point 202: X: 490, Y: 190, Depth: -1
Point 203: X: 474, Y: 205, Depth: -1
Point 204: X: 467, Y: 181, Depth: 68.0224
Point 205: X: 443, Y: 183, Depth: 34.1023
Point 206: X: 462, Y: 158, Depth: -1
Point 207: X: 450, Y: 157, Depth: 55.5793
Point 208: X: 657, Y: 101, Depth: -1
Point 209: X: 633, Y: 91, Depth: -1
Point 210: X: 640, Y: 78, Depth: -1
Point 211: X: 623, Y: 72, Depth: -1
Point 212: X: 503, Y: 82, Depth: -1
Point 213: X: 473, Y: 91, Depth: -1
Point 214: X: 496, Y: 76, Depth: -1
Point 215: X: 473, Y: 66, Depth: -1
Point 216: X: 572, Y: 356, Depth: 5.93809
Point 217: X: 553, Y: 348, Depth: 6.16881
Point 218: X: 579, Y: 327, Depth: 7.67531
Point 219: X: 562, Y: 327, Depth: 6.64537
Point 220: X: 726, Y: 98, Depth: -1
Point 221: X: 709, Y: 100, Depth: -1
Point 222: X: 730, Y: 59, Depth: -1
Point 223: X: 705, Y: 73, Depth: -1
Point 224: X: 413, Y: 225, Depth: -1
Point 225: X: 411, Y: 222, Depth: -1
Point 226: X: 427, Y: 209, Depth: -1
Point 227: X: 402, Y: 201, Depth: -1
Point 228: X: 684, Y: 84, Depth: -1
Point 229: X: 665, Y: 93, Depth: -1
Point 230: X: 692, Y: 61, Depth: -1
Point 231: X: 674, Y: 76, Depth: -1
Point 232: X: 233, Y: 87, Depth: -1
Point 233: X: 207, Y: 96, Depth: -1
Point 234: X: 236, Y: 68, Depth: -1
Point 235: X: 213, Y: 76, Depth: -1
Point 236: X: 164, Y: 303, Depth: -1
Point 237: X: 139, Y: 316, Depth: -1
Point 238: X: 149, Y: 286, Depth: -1
Point 239: X: 138, Y: 283, Depth: -1
Point 240: X: 724, Y: 50, Depth: -1
Point 241: X: 705, Y: 52, Depth: -1
Point 242: X: 719, Y: 24, Depth: -1
Point 243: X: 706, Y: 36, Depth: -1
Point 244: X: 686, Y: 44, Depth: -1
Point 245: X: 673, Y: 52, Depth: -1
Point 246: X: 694, Y: 35, Depth: -1
Point 247: X: 664, Y: 24, Depth: -1
Point 248: X: 380, Y: 184, Depth: 24.3106
Point 249: X: 371, Y: 184, Depth: 0
Point 250: X: 387, Y: 150, Depth: 28.6434
Point 251: X: 374, Y: 148, Depth: -1
Point 252: X: 533, Y: 140, Depth: -1
Point 253: X: 509, Y: 141, Depth: -1
Point 254: X: 538, Y: 102, Depth: -1
Point 255: X: 521, Y: 121, Depth: -1
Point 256: X: 497, Y: 133, Depth: -1
Point 257: X: 478, Y: 131, Depth: -1
Point 258: X: 491, Y: 114, Depth: -1
Point 259: X: 483, Y: 113, Depth: -1
Point 260: X: 314, Y: 86, Depth: -1
Point 261: X: 291, Y: 88, Depth: -1
Point 262: X: 315, Y: 80, Depth: -1
Point 263: X: 295, Y: 76, Depth: -1
Point 264: X: 269, Y: 131, Depth: -1
Point 265: X: 252, Y: 132, Depth: -1
Point 266: X: 264, Y: 121, Depth: -1
Point 267: X: 257, Y: 119, Depth: -1
Point 268: X: 428, Y: 173, Depth: -1
Point 269: X: 397, Y: 172, Depth: 54.5549
Point 270: X: 431, Y: 159, Depth: 1.24242e-13
Point 271: X: 401, Y: 150, Depth: -1
Point 272: X: 500, Y: 167, Depth: -1
Point 273: X: 486, Y: 185, Depth: -1
Point 274: X: 490, Y: 161, Depth: 54.9121
Point 275: X: 481, Y: 160, Depth: 63.6081
Point 276: X: 639, Y: 42, Depth: -1
Point 277: X: 638, Y: 42, Depth: -1
Point 278: X: 647, Y: 27, Depth: -1
Point 279: X: 632, Y: 36, Depth: -1
Point 280: X: 273, Y: 101, Depth: -1
Point 281: X: 247, Y: 81, Depth: -1
Point 282: X: 270, Y: 76, Depth: -1
Point 283: X: 243, Y: 65, Depth: -1
Point 284: X: 604, Y: 183, Depth: -1
Point 285: X: 601, Y: 182, Depth: -1
Point 286: X: 611, Y: 161, Depth: -1
Point 287: X: 588, Y: 156, Depth: -1
Point 288: X: 580, Y: 167, Depth: -1
Point 289: X: 561, Y: 168, Depth: -1
Point 290: X: 574, Y: 161, Depth: -1
Point 291: X: 563, Y: 166, Depth: -1
Point 292: X: 530, Y: 187, Depth: 53.1145
Point 293: X: 515, Y: 185, Depth: -1
Point 294: X: 526, Y: 153, Depth: -1
Point 295: X: 511, Y: 154, Depth: 2.82096e-12
Point 296: X: 1079, Y: 190, Depth: 6.26791
Point 297: X: 1207, Y: 219, Depth: -1
Point 298: X: 976, Y: 271, Depth: -1
Point 299: X: 940, Y: 266, Depth: -1
Point 300: X: 987, Y: 198, Depth: -1
Point 301: X: 931, Y: 210, Depth: -1
Point 302: X: 1014, Y: 259, Depth: -1
Point 303: X: 1029, Y: 208, Depth: 12.8326
Point 304: X: 996, Y: 318, Depth: -1
Point 305: X: 942, Y: 319, Depth: 7.83599
Point 306: X: 963, Y: 283, Depth: 7.29201
Point 307: X: 947, Y: 299, Depth: 7.18975
Point 308: X: 1063, Y: 336, Depth: 5.542
Point 309: X: 998, Y: 319, Depth: 6.35657
Point 310: X: 1058, Y: 293, Depth: -1
Point 311: X: 1004, Y: 297, Depth: -1
Point 312: X: 1133, Y: 95, Depth: -1
Point 313: X: 1086, Y: 64, Depth: -1
Point 314: X: 1130, Y: 22, Depth: -1
Point 315: X: 1107, Y: 39, Depth: -1
Point 316: X: 1196, Y: 89, Depth: -1
Point 317: X: 1212, Y: 23, Depth: -1
Point 318: X: 1163, Y: 42, Depth: -1
Point 319: X: 1090, Y: 170, Depth: -1
Point 320: X: 1083, Y: 141, Depth: -1
Point 321: X: 1217, Y: 179, Depth: -1
Point 322: X: 1192, Y: 113, Depth: -1
Point 323: X: 985, Y: 62, Depth: -1
Point 324: X: 926, Y: 75, Depth: -1
Point 325: X: 984, Y: 58, Depth: -1
Point 326: X: 1025, Y: 61, Depth: -1
Point 327: X: 1025, Y: 34, Depth: -1
Point 328: X: 968, Y: 152, Depth: -1
Point 329: X: 929, Y: 151, Depth: -1
Point 330: X: 925, Y: 125, Depth: -1
Point 331: X: 1043, Y: 185, Depth: 11.9596
Point 332: X: 794, Y: 234, Depth: 11.1772
Point 333: X: 845, Y: 227, Depth: 11.2839
Point 334: X: 776, Y: 213, Depth: 11.6545
Point 335: X: 896, Y: 245, Depth: 13.3334
Point 336: X: 863, Y: 242, Depth: -1
Point 337: X: 892, Y: 226, Depth: 16.9404
Point 338: X: 848, Y: 229, Depth: 11.4242
Point 339: X: 909, Y: 312, Depth: 8.21414
Point 340: X: 857, Y: 291, Depth: -1
Point 341: X: 667, Y: 254, Depth: 14.175
Point 342: X: 657, Y: 238, Depth: 17.7572
Point 343: X: 666, Y: 200, Depth: -1
Point 344: X: 629, Y: 210, Depth: 32.1377
Point 345: X: 742, Y: 244, Depth: 14.2965
Point 346: X: 705, Y: 240, Depth: 14.7012
Point 347: X: 697, Y: 190, Depth: 24.2253
Point 348: X: 692, Y: 330, Depth: -1
Point 349: X: 652, Y: 356, Depth: 6.55186
Point 350: X: 659, Y: 306, Depth: -1
Point 351: X: 655, Y: 305, Depth: 8.34402
Point 352: X: 812, Y: 83, Depth: -1
Point 353: X: 806, Y: 86, Depth: -1
Point 354: X: 844, Y: 54, Depth: -1
Point 355: X: 772, Y: 19, Depth: -1
Point 356: X: 912, Y: 93, Depth: -1
Point 357: X: 861, Y: 97, Depth: -1
Point 358: X: 891, Y: 20, Depth: -1
Point 359: X: 882, Y: 34, Depth: -1
Point 360: X: 845, Y: 154, Depth: 21.2394
Point 361: X: 800, Y: 151, Depth: 24.8835
Point 362: X: 813, Y: 114, Depth: -1
Point 363: X: 808, Y: 112, Depth: -1
Point 364: X: 859, Y: 149, Depth: -1
Point 365: X: 922, Y: 126, Depth: -1
Point 366: X: 859, Y: 140, Depth: 0
Point 367: X: 747, Y: 98, Depth: -1
Point 368: X: 539, Y: 233, Depth: 19.8243
Point 369: X: 483, Y: 273, Depth: -1
Point 370: X: 589, Y: 237, Depth: 17.5869
Point 371: X: 544, Y: 331, Depth: -1
Point 372: X: 471, Y: 321, Depth: -1
Point 373: X: 534, Y: 275, Depth: -1
Point 374: X: 611, Y: 339, Depth: -1
Point 375: X: 583, Y: 307, Depth: 8.09257
Point 376: X: 466, Y: 233, Depth: 21.6233
Point 377: X: 370, Y: 317, Depth: 8.54674
Point 378: X: 329, Y: 350, Depth: 6.93994
Point 379: X: 351, Y: 280, Depth: -1
Point 380: X: 433, Y: 319, Depth: -1
Point 381: X: 395, Y: 321, Depth: 8.0154
Point 382: X: 421, Y: 299, Depth: -1
Point 383: X: 539, Y: 22, Depth: -1
Point 384: X: 620, Y: 66, Depth: -1
Point 385: X: 611, Y: 130, Depth: -1
Point 386: X: 363, Y: 79, Depth: -1
Point 387: X: 352, Y: 90, Depth: -1
Point 388: X: 417, Y: 61, Depth: -1
Point 389: X: 460, Y: 52, Depth: -1
Point 390: X: 417, Y: 58, Depth: -1
Point 391: X: 325, Y: 182, Depth: 34.6408
Point 392: X: 339, Y: 109, Depth: -1
Point 393: X: 403, Y: 128, Depth: -1
Point 394: X: 216, Y: 273, Depth: 10.6589
Point 395: X: 190, Y: 259, Depth: 11.4825
Point 396: X: 169, Y: 228, Depth: -1
Point 397: X: 316, Y: 233, Depth: -1
Point 398: X: 199, Y: 334, Depth: -1
Point 399: X: 250, Y: 320, Depth: -1
Point 400: X: 292, Y: 279, Depth: -1
Point 401: X: 273, Y: 305, Depth: 10.3492
Point 402: X: 88, Y: 240, Depth: -1
Point 403: X: 24, Y: 255, Depth: -1
Point 404: X: 71, Y: 217, Depth: -1
Point 405: X: 29, Y: 192, Depth: -1
Point 406: X: 151, Y: 247, Depth: -1
Point 407: X: 93, Y: 248, Depth: -1
Point 408: X: 165, Y: 217, Depth: -1
Point 409: X: 92, Y: 191, Depth: -1
Point 410: X: 61, Y: 277, Depth: 12.002
Point 411: X: 44, Y: 290, Depth: -1
Point 412: X: 142, Y: 340, Depth: -1
Point 413: X: 209, Y: 47, Depth: -1
Point 414: X: 187, Y: 44, Depth: -1
Point 415: X: 237, Y: 184, Depth: 16.0999
Point 416: X: 190, Y: 174, Depth: -1
Point 417: X: 237, Y: 111, Depth: -1
Point 418: X: 167, Y: 113, Depth: -1
Point 419: X: 88, Y: 68, Depth: -1
Point 420: X: 24, Y: 53, Depth: -1
Point 421: X: 158, Y: 77, Depth: -1
Point 422: X: 115, Y: 94, Depth: -1
Point 423: X: 136, Y: 19, Depth: -1
Point 424: X: 113, Y: 58, Depth: -1
Point 425: X: 70, Y: 150, Depth: -1
Point 426: X: 53, Y: 169, Depth: -1
Point 427: X: 84, Y: 123, Depth: -1
Point 428: X: 31, Y: 118, Depth: -1
Point 429: X: 161, Y: 187, Depth: 22.1833
Point 430: X: 92, Y: 164, Depth: -1
Point 431: X: 156, Y: 115, Depth: -1
Point 432: X: 109, Y: 128, Depth: -1
Point 433: X: 770, Y: 295, Depth: 10.656
Point 434: X: 787, Y: 291, Depth: 9.61453
Point 435: X: 393.6, Y: 128.4, Depth: -1
Point 436: X: 367.2, Y: 138, Depth: -1
Point 437: X: 392.4, Y: 114, Depth: -1
Point 438: X: 360, Y: 114, Depth: -1
Point 439: X: 574.8, Y: 218.4, Depth: 26.3362
Point 440: X: 564, Y: 222, Depth: 24.6064
Point 441: X: 567.6, Y: 188.4, Depth: -1
Point 442: X: 560.4, Y: 188.4, Depth: -1
Point 443: X: 346.8, Y: 42, Depth: -1
Point 444: X: 354, Y: 27.6, Depth: -1
Point 445: X: 454.8, Y: 222, Depth: -1
Point 446: X: 440.4, Y: 225.6, Depth: 25.4358
Point 447: X: 465.6, Y: 207.6, Depth: 28.2487
Point 448: X: 439.2, Y: 205.2, Depth: 29.2706
Point 449: X: 744, Y: 46.8, Depth: -1
Point 450: X: 766.8, Y: 22.8, Depth: -1
Point 451: X: 744, Y: 31.2, Depth: -1
Point 452: X: 310.8, Y: 182.4, Depth: 30.9557
Point 453: X: 316.8, Y: 162, Depth: 29.5878
Point 454: X: 295.2, Y: 165.6, Depth: 28.6599
Point 455: X: 366, Y: 350.4, Depth: -1
Point 456: X: 385.2, Y: 320.4, Depth: -1
Point 457: X: 358.8, Y: 327.6, Depth: 7.71705
Point 458: X: 387.6, Y: 253.2, Depth: 16.3946
Point 459: X: 362.4, Y: 253.2, Depth: -1
Point 460: X: 384, Y: 231.6, Depth: 18.0324
Point 461: X: 373.2, Y: 249.6, Depth: 18.4992
Point 462: X: 463.2, Y: 126, Depth: -1
Point 463: X: 445.2, Y: 144, Depth: -1
Point 464: X: 468, Y: 104.4, Depth: -1
Point 465: X: 435.6, Y: 112.8, Depth: -1
Point 466: X: 204, Y: 90, Depth: -1
Point 467: X: 192, Y: 75.6, Depth: -1
Point 468: X: 180, Y: 76.8, Depth: -1
Point 469: X: 235.2, Y: 344.4, Depth: -1
Point 470: X: 213.6, Y: 337.2, Depth: -1
Point 471: X: 240, Y: 318, Depth: -1
Point 472: X: 222, Y: 314.4, Depth: -1
Point 473: X: 614.4, Y: 219.6, Depth: 25.3581
Point 474: X: 594, Y: 217.2, Depth: 26.7293
Point 475: X: 603.6, Y: 192, Depth: -1
Point 476: X: 589.2, Y: 204, Depth: 40.9763
Point 477: X: 693.6, Y: 128.4, Depth: -1
Point 478: X: 669.6, Y: 145.2, Depth: -1
Point 479: X: 686.4, Y: 105.6, Depth: -1
Point 480: X: 672, Y: 104.4, Depth: -1
Point 481: X: 532.8, Y: 216, Depth: 29.2408
Point 482: X: 512.4, Y: 210, Depth: 36.2001
Point 483: X: 538.8, Y: 200.4, Depth: 51.0803
Point 484: X: 520.8, Y: 193.2, Depth: 46.6363
Point 485: X: 565.2, Y: 351.6, Depth: -1
Point 486: X: 553.2, Y: 348, Depth: 6.16809
Point 487: X: 579.6, Y: 326.4, Depth: 8.06607
Point 488: X: 562.8, Y: 326.4, Depth: -1
Point 489: X: 121.2, Y: 337.2, Depth: -1
Point 490: X: 104.4, Y: 344.4, Depth: -1
Point 491: X: 130.8, Y: 315.6, Depth: -1
Point 492: X: 108, Y: 326.4, Depth: -1
Point 493: X: 319.2, Y: 228, Depth: -1
Point 494: X: 285.6, Y: 211.2, Depth: 15.729
Point 495: X: 309.6, Y: 195.6, Depth: 17.9748
Point 496: X: 289.2, Y: 196.8, Depth: -1
Point 497: X: 721.2, Y: 126, Depth: -1
Point 498: X: 714, Y: 140.4, Depth: -1
Point 499: X: 721.2, Y: 118.8, Depth: -1
Point 500: X: 712.8, Y: 109.2, Depth: -1
Point 501: X: 572.4, Y: 130.8, Depth: -1
Point 502: X: 550.8, Y: 126, Depth: -1
Point 503: X: 553.2, Y: 123.6, Depth: -1
Point 504: X: 1066.8, Y: 216, Depth: -1
Point 505: X: 1047.6, Y: 216, Depth: -1
Point 506: X: 1062, Y: 196.8, Depth: -1
Point 507: X: 1039.2, Y: 199.2, Depth: -1
Point 508: X: 272.4, Y: 336, Depth: -1
Point 509: X: 261.6, Y: 343.2, Depth: 7.56447
Point 510: X: 279.6, Y: 330, Depth: -1
Point 511: X: 254.4, Y: 320.4, Depth: -1
Point 512: X: 693.6, Y: 183.6, Depth: 21.6548
Point 513: X: 662.4, Y: 186, Depth: -1
Point 514: X: 682.8, Y: 154.8, Depth: -1
Point 515: X: 664.8, Y: 147.6, Depth: -1
Point 516: X: 266.4, Y: 253.2, Depth: -1
Point 517: X: 249.6, Y: 256.8, Depth: 12.3185
Point 518: X: 265.2, Y: 247.2, Depth: 12.5145
Point 519: X: 244.8, Y: 250.8, Depth: -1
Point 520: X: 348, Y: 228, Depth: -1
Point 521: X: 320.4, Y: 228, Depth: -1
Point 522: X: 338.4, Y: 188.4, Depth: -1
Point 523: X: 326.4, Y: 198, Depth: 14.6006
Point 524: X: 580.8, Y: 253.2, Depth: 14.0463
Point 525: X: 560.4, Y: 254.4, Depth: 13.9511
Point 526: X: 574.8, Y: 236.4, Depth: 17.9111
Point 527: X: 549.6, Y: 237.6, Depth: 17.9982
Point 528: X: 265.2, Y: 46.8, Depth: -1
Point 529: X: 250.8, Y: 60, Depth: -1
Point 530: X: 278.4, Y: 28.8, Depth: -1
Point 531: X: 249.6, Y: 32.4, Depth: -1
Point 532: X: 415.2, Y: 254.4, Depth: 16.16
Point 533: X: 403.2, Y: 256.8, Depth: 15.8025
Point 534: X: 426, Y: 232.8, Depth: 22.0037
Point 535: X: 410.4, Y: 230.4, Depth: 23.3668
Point 536: X: 656.4, Y: 100.8, Depth: -1
Point 537: X: 632.4, Y: 90, Depth: -1
Point 538: X: 640.8, Y: 76.8, Depth: -1
Point 539: X: 622.8, Y: 72, Depth: -1
Point 540: X: 506.4, Y: 87.6, Depth: -1
Point 541: X: 472.8, Y: 91.2, Depth: -1
Point 542: X: 502.8, Y: 81.6, Depth: -1
Point 543: X: 488.4, Y: 82.8, Depth: -1
Point 544: X: 302.4, Y: 338.4, Depth: 7.55495
Point 545: X: 284.4, Y: 351.6, Depth: -1
Point 546: X: 301.2, Y: 330, Depth: 8.17305
Point 547: X: 295.2, Y: 321.6, Depth: -1
Point 548: X: 532.8, Y: 140.4, Depth: -1
Point 549: X: 508.8, Y: 140.4, Depth: -1
Point 550: X: 538.8, Y: 105.6, Depth: -1
Point 551: X: 516, Y: 123.6, Depth: -1
Point 552: X: 468, Y: 99.6, Depth: -1
Point 553: X: 434.4, Y: 84, Depth: -1
Point 554: X: 452.4, Y: 78, Depth: -1
Point 555: X: 446.4, Y: 74.4, Depth: -1
Point 556: X: 308.4, Y: 42, Depth: -1
Point 557: X: 288, Y: 55.2, Depth: -1
Point 558: X: 302.4, Y: 33.6, Depth: -1
Point 559: X: 284.4, Y: 31.2, Depth: -1
Point 560: X: 680.4, Y: 87.6, Depth: -1
Point 561: X: 676.8, Y: 102, Depth: -1
Point 562: X: 682.8, Y: 82.8, Depth: -1
Point 563: X: 673.2, Y: 75.6, Depth: -1
Point 564: X: 649.2, Y: 142.8, Depth: -1
Point 565: X: 622.8, Y: 140.4, Depth: -1
